2024-09-30 01:53:03,351 INFO    wandb-upload_0:81491 [upload_job.py:push():130] Uploaded file /var/folders/7z/xf0b524s1sz57ng92d9l6b0r0000gn/T/tmpsuz5w3fuwandb/17v06tiq-wandb-metadata.json
2024-09-30 01:53:03,618 DEBUG   HandlerThread:81491 [handler.py:handle_request():158] handle_request: internal_messages
2024-09-30 01:53:04,622 DEBUG   HandlerThread:81491 [handler.py:handle_request():158] handle_request: internal_messages
2024-09-30 01:53:05,020 DEBUG   HandlerThread:81491 [handler.py:handle_request():158] handle_request: log_artifact
2024-09-30 01:53:05,020 DEBUG   SenderThread:81491 [sender.py:send_request():418] send_request: log_artifact
2024-09-30 01:53:05,180 INFO    Thread-12 :81491 [dir_watcher.py:_on_file_created():271] file/dir created: /Users/brettyoung/Desktop/dev_24/tutorials/phi_anon/final/wandb/run-20240930_015250-p9h713mi/files/media/table/Transformation Metrics_0_25189366dadaa8078b7c.table.json
2024-09-30 01:53:05,180 INFO    Thread-12 :81491 [dir_watcher.py:_on_file_created():271] file/dir created: /Users/brettyoung/Desktop/dev_24/tutorials/phi_anon/final/wandb/run-20240930_015250-p9h713mi/files/output.log
2024-09-30 01:53:05,180 INFO    Thread-12 :81491 [dir_watcher.py:_on_file_created():271] file/dir created: /Users/brettyoung/Desktop/dev_24/tutorials/phi_anon/final/wandb/run-20240930_015250-p9h713mi/files/media/table
2024-09-30 01:53:05,180 INFO    Thread-12 :81491 [dir_watcher.py:_on_file_created():271] file/dir created: /Users/brettyoung/Desktop/dev_24/tutorials/phi_anon/final/wandb/run-20240930_015250-p9h713mi/files/media
2024-09-30 01:53:05,603 DEBUG   HandlerThread:81491 [handler.py:handle_request():158] handle_request: partial_history
2024-09-30 01:53:05,624 DEBUG   HandlerThread:81491 [handler.py:handle_request():158] handle_request: internal_messages
2024-09-30 01:53:06,077 INFO    wandb-upload_0:81491 [upload_job.py:push():130] Uploaded file /var/folders/7z/xf0b524s1sz57ng92d9l6b0r0000gn/T/tmpsuz5w3fuwandb/28f6kjoy-media/table/Transformation Metrics_0_25189366dadaa8078b7c.table.json
2024-09-30 01:53:06,626 DEBUG   HandlerThread:81491 [handler.py:handle_request():158] handle_request: internal_messages
2024-09-30 01:53:07,187 INFO    Thread-12 :81491 [dir_watcher.py:_on_file_modified():288] file/dir modified: /Users/brettyoung/Desktop/dev_24/tutorials/phi_anon/final/wandb/run-20240930_015250-p9h713mi/files/output.log
